Type,Coordinates,Lat,Lon
Little Free Library,"41.8455658,-72.4754235",41.8455658,-72.4754235
Little Free Library,"41.386694,-72.8619328",41.386694,-72.8619328
Little Free Library,"41.0913475,-73.4315686",41.0913475,-73.4315686
Little Free Library,"41.0913475,-73.4315686",41.0913475,-73.4315686
Little Free Library,"41.1320448,-73.3306976",41.1320448,-73.3306976
Little Free Library,"41.2930411,-73.2458736",41.2930411,-73.2458736
Little Free Library,"41.2930411,-73.2458736",41.2930411,-73.2458736
Little Free Library,"41.6873381,-72.7217174",41.6873381,-72.7217174
Little Free Library,"41.7684146,-73.07078",41.7684146,-73.07078
Little Free Library,"41.7684146,-73.07078",41.7684146,-73.07078
Little Free Library,"41.5946563,-72.8471861",41.5946563,-72.8471861
Little Free Library,"41.8316328,-73.2239626",41.8316328,-73.2239626
Little Free Library,"41.3412765,-72.6613354",41.3412765,-72.6613354
Little Free Library,"41.3412765,-72.6613354",41.3412765,-72.6613354
Little Free Library,"41.286198,-72.759369",41.286198,-72.759369
Little Free Library,"41.1122831,-73.4073022",41.1122831,-73.4073022
Little Free Library,"41.1233912,-73.4099686",41.1233912,-73.4099686
Little Free Library,"41.0918322,-73.4333974",41.0918322,-73.4333974
Little Free Library,"41.135217,-73.2490812",41.135217,-73.2490812
Little Free Library,"41.135217,-73.2490812",41.135217,-73.2490812
Little Free Library,"41.74464,-72.213988",41.74464,-72.213988
Little Free Library,"41.74464,-72.213988",41.74464,-72.213988
Little Free Library,"41.1921628,-73.2216417",41.1921628,-73.2216417
Little Free Library,"41.5215671,-73.1245647",41.5215671,-73.1245647
Little Free Library,"41.3448242,-72.345103",41.3448242,-72.345103
Little Free Library,"41.3286389,-72.1030307",41.3286389,-72.1030307
Little Free Library,"41.3286389,-72.1030307",41.3286389,-72.1030307
Little Free Library,"41.8420141,-72.6130397",41.8420141,-72.6130397
Little Free Library,"41.119157,-73.410032",41.119157,-73.410032
Little Free Library,"41.113795,-73.413083",41.113795,-73.413083
Little Free Library,"41.99849,-72.55514",41.99849,-72.55514
Little Free Library,"41.99849,-72.55514",41.99849,-72.55514
